"userPrincipalName","msId","assigned","isAdmin","isDeleted"
,,,,
"AarifS@M365x747460.onmicrosoft.com","a3a9ea42-8955-4e7d-812a-56c13df46ceb","False","False","False"
"AchimM@M365x747460.onmicrosoft.com","8d55fc04-db9f-4f23-b917-df9bdc093207","False","False","False"
"Adams@M365x747460.onmicrosoft.com","957368c2-1c2b-4219-b9aa-fbf0306da685","False","False","False"
"AdamW@M365x747460.onmicrosoft.com","ffd0736c-97f3-449c-9f6b-5fccc20e1483","False","False","False"
"AdeleV@M365x747460.OnMicrosoft.com","ae356d67-6f19-40dd-8c72-cdf853647ae0","False","False","False"
"admin@M365x747460.onmicrosoft.com","c0edf931-f90a-4c3b-926d-2645bcd17841","False","True","False"
"AdrianaN@M365x747460.onmicrosoft.com","505175d0-331c-47e3-900e-90e5139c43cf","False","False","False"
"AldoM@M365x747460.onmicrosoft.com","3b27fee6-f37a-47be-b65c-df89363599da","False","False","False"
"AliceL@M365x747460.onmicrosoft.com","7fdf3d99-fad1-428d-8bea-dfc0381bcac9","False","False","False"
"AlishaG@M365x747460.onmicrosoft.com","f31a8eba-d1fc-40b8-853a-0ca776733426","False","False","False"
"AllanD@M365x747460.OnMicrosoft.com","1ac9c594-22af-4670-9a4f-9f2272af3a7f","False","False","False"
"AnnaL@M365x747460.onmicrosoft.com","a424ea83-d049-4439-84df-df9a037f52a2","False","False","False"
"AnneM@M365x747460.onmicrosoft.com","f7fd506c-de91-4e49-bd6c-89957284a32b","False","False","False"
"ArifB@M365x747460.onmicrosoft.com","fe8f6745-044c-4e1e-b6c9-a566f30ba9eb","False","False","False"
"Baker@M365x747460.onmicrosoft.com","f95f0ced-e120-49cd-a347-131df261a0f8","False","False","False"
"BasimK@M365x747460.onmicrosoft.com","de74be2a-d271-413c-9273-06fd00546535","False","False","False"
"BetsyD@M365x747460.onmicrosoft.com","8bf2d6bf-3b55-461e-a776-44a8a82f5bac","False","False","False"
"BiancaPa@M365x747460.onmicrosoft.com","e464f7f5-b695-4d7e-b37b-73caef3dc262","False","False","False"
"BiancaP@M365x747460.onmicrosoft.com","a76bc271-9314-45c5-abee-13e12be739c4","False","False","False"
"BrianJ@M365x747460.onmicrosoft.com","e923fc85-19d5-435c-b49a-163eb44bad89","False","False","False"
"CameronW@M365x747460.onmicrosoft.com","5262054f-d613-4a94-9e33-4b7bf01827dd","False","False","False"
"CandyD@M365x747460.onmicrosoft.com","bbadd628-cbde-4de5-a32c-9445b0f41269","False","False","False"
"CaterinaC@M365x747460.onmicrosoft.com","2425dce0-a398-4caa-92d1-8319572760d3","False","False","False"
"ChristophW@M365x747460.onmicrosoft.com","81dc31d5-f58e-4044-bd58-03b9c6fd3eaf","False","False","False"
"ClarissaT@M365x747460.onmicrosoft.com","45eb2274-96e7-45a0-b88b-6cf9b2afe49f","False","False","False"
"ClaudiaP@M365x747460.onmicrosoft.com","5bd6ec70-4289-4310-a4a9-49a3d7871756","False","False","False"
"CristinaG@M365x747460.onmicrosoft.com","febdbc11-f9bc-4b12-964b-414996f58400","False","False","False"
"Crystal@M365x747460.onmicrosoft.com","3af49c81-40b7-4190-82f4-de6b6f1b20e5","False","False","False"
"DaisyS@M365x747460.onmicrosoft.com","9b340e73-4cea-4724-93f9-bd000f998dc9","False","False","False"
"DastgirR@M365x747460.onmicrosoft.com","8381ec5d-294f-4e2d-b223-31045482bab3","False","False","False"
"DebraB@M365x747460.OnMicrosoft.com","a7511be4-ec59-4665-9e92-9400490db30a","False","False","False"
"DeliaD@M365x747460.onmicrosoft.com","6a078201-ecf7-464c-a086-a5d762fdd4d7","False","False","False"
"DiegoS@M365x747460.OnMicrosoft.com","21cd1f27-6bd5-4a09-bdf7-aae740a8eb0f","False","False","False"
"DollyG@M365x747460.onmicrosoft.com","5994b190-97a9-4f68-95ce-67f447b74c47","False","False","False"
"DouglasF@M365x747460.onmicrosoft.com","d9ab0381-f724-4e63-bf0a-1ab930a8ad34","False","False","False"
"EmilyB@M365x747460.OnMicrosoft.com","cd45900c-3ac4-413d-ab21-14f5b59a3d70","False","False","False"
"EnricoC@M365x747460.OnMicrosoft.com","eca074cf-93e4-493a-bf4f-17c55b60ca9c","False","False","False"
"GebhardS@M365x747460.onmicrosoft.com","5192cb09-44ce-440e-8676-3f4dd9629db3","False","False","False"
"GerhartM@M365x747460.onmicrosoft.com","62038348-59d6-43f4-a9f7-4715cbd3ea94","False","False","False"
"GiorgiaA@M365x747460.onmicrosoft.com","f97babaf-d89b-42d6-9143-20d7903150f0","False","False","False"
"GradyA@M365x747460.OnMicrosoft.com","95db1be2-ce81-4cc7-a519-2c0a6f7d09ea","False","False","False"
"HannahA@M365x747460.onmicrosoft.com","a212e71a-c4c9-4c14-9670-7e8aa800a58b","False","False","False"
"HarryO@M365x747460.onmicrosoft.com","ec08ab6a-fcfb-4e30-9060-77ff4d5c2297","False","False","False"
"HarveyR@M365x747460.onmicrosoft.com","403e6666-9bfa-4025-b02d-81b80e1bf881","False","False","False"
"HelgaF@M365x747460.onmicrosoft.com","f8a59045-4c84-479f-b1f2-26dd6f49456a","False","False","False"
"Hood@M365x747460.onmicrosoft.com","1fe95432-3ced-44c5-be23-61974a4c642c","False","False","False"
"HumaydZ@M365x747460.onmicrosoft.com","4bef52c0-b2b9-4b8d-a1e2-5e8fd4c80747","False","False","False"
"IrvinS@M365x747460.OnMicrosoft.com","b9d1a5e1-c1da-430e-a4d2-08a893e29ee7","False","False","False"
"JohannaL@M365x747460.OnMicrosoft.com","f14e086c-f7fa-4f7f-bc58-45301b7037b9","False","False","False"
"JoniS@M365x747460.OnMicrosoft.com","48fd7002-e87b-481f-9881-215c81bc0bd7","False","False","False"
"JoshuaM@M365x747460.onmicrosoft.com","2fe34f42-7f3b-4be4-a2a5-9650d2bb102d","False","False","False"
"JungY@M365x747460.onmicrosoft.com","f42bd71f-f50d-4a86-b453-a5ca82e32dc6","False","False","False"
"KarlM@M365x747460.onmicrosoft.com","1e8938b1-efd0-4190-bb52-a59d8af4fa57","False","False","False"
"KimberlyR@M365x747460.onmicrosoft.com","ce3e3386-48dc-4f0e-b596-2cf91fdfe936","False","False","False"
"LeeG@M365x747460.OnMicrosoft.com","59b58f5a-895a-418f-b6ad-773cc756d3c1","False","False","False"
"LidiaH@M365x747460.OnMicrosoft.com","477db2ba-fb8f-41f2-9a1c-cc03cc70ce49","False","True","False"
"LinaI@M365x747460.onmicrosoft.com","1078bb4d-21c3-42c4-92df-eb8deb302ffe","False","False","False"
"MargieR@M365x747460.onmicrosoft.com","1599a6b5-60e6-43a6-be80-c884aebecb42","False","False","False"
"MarieS@M365x747460.onmicrosoft.com","23e2e759-d2b9-4cc8-a4ef-74aa9a480031","False","False","False"
"MarthaD@M365x747460.onmicrosoft.com","f08779a7-b7af-4ac8-b627-a8a0bf81ec59","False","False","False"
"MayaG@M365x747460.onmicrosoft.com","699c3686-debb-4390-9d2f-6dc8e342ac04","False","False","False"
"MeredithV@M365x747460.onmicrosoft.com","fe69f355-e911-4069-b175-c5adf91bbafd","False","False","False"
"MiaF@M365x747460.onmicrosoft.com","b9c3cfb1-f73f-4a32-817a-5403a6c3cae0","False","False","False"
"MiriamS@M365x747460.onmicrosoft.com","96bdd10a-00a0-4cd3-98a8-4385532dfc8e","False","False","False"
"MonaS@M365x747460.onmicrosoft.com","2c6da154-f1c2-4477-86db-a264da80c2e0","False","False","False"
"MosesM@M365x747460.onmicrosoft.com","9cc8b0a2-b30c-4ff0-bb5e-346577717745","False","False","False"
"MyrnaC@M365x747460.onmicrosoft.com","0d37e479-7450-432a-8eb1-8b8c003d58b0","False","False","False"
"NeleK@M365x747460.onmicrosoft.com","0824f844-f687-41d5-ada6-d71b1cb11b6d","False","False","False"
"NestorW@M365x747460.OnMicrosoft.com","e189db19-dde1-4432-986d-ec97a634a44f","False","True","False"
"NicholasR@M365x747460.onmicrosoft.com","d8c42bdc-eb4c-4265-b5f1-1003dd0c8132","False","False","False"
"NoellP@M365x747460.onmicrosoft.com","00804d67-b7d6-4e3f-b017-859d80a8701c","False","False","False"
"OlaA@M365x747460.onmicrosoft.com","42c1027f-a552-4be3-b696-58e675a26476","False","False","False"
"PamZ@M365x747460.onmicrosoft.com","9f0f0aec-4cef-4b0c-8dd8-ab178c5726a6","False","False","False"
"PatricaG@M365x747460.onmicrosoft.com","55ae775a-c726-4bc9-b72e-51ae1c25a758","False","False","False"
"PattiF@M365x747460.OnMicrosoft.com","78933268-c07e-450e-9a96-c7db3e4b6338","False","False","False"
"PattyB@M365x747460.onmicrosoft.com","ad511b20-4e19-4ba7-94a4-4548e0709d66","False","False","False"
"PaulineC@M365x747460.onmicrosoft.com","527361d9-e2f2-47e0-9f74-2e226611fcc5","False","False","False"
"PradeepG@M365x747460.OnMicrosoft.com","d2e19846-6da1-4832-8dbf-af0cf512aa3b","False","False","False"
"Rainier@M365x747460.onmicrosoft.com","e1612598-78c8-44f3-86a3-bafa8978634d","False","False","False"
"RaulR@M365x747460.onmicrosoft.com","ea3b380d-d394-4906-96f0-b1c2a25f32e7","False","False","False"
"RexP@M365x747460.onmicrosoft.com","e954a77e-6d7c-48c1-8f00-8b0905569e9d","False","False","False"
"RodneyR@M365x747460.onmicrosoft.com","959fe324-e2b2-4563-93f8-c8153696030f","False","False","False"
"RomanF@M365x747460.onmicrosoft.com","8d2ac901-b3da-40a4-b9e7-68beb57c0d97","False","False","False"
"RoryB@M365x747460.onmicrosoft.com","9f01c54e-af08-4530-8353-b9562e3b7ec7","False","False","False"
"RosaL@M365x747460.onmicrosoft.com","7974ae92-58b1-4d13-a301-0fbf6cb3ae7b","False","False","False"
"RosieH@M365x747460.onmicrosoft.com","e8c12cf7-bf57-441f-90e2-a5282c579d5f","False","False","False"
"RyanS@M365x747460.onmicrosoft.com","efcd2bee-f3eb-4a29-a700-10c55311693e","False","False","False"
"SantosS@M365x747460.onmicrosoft.com","eef6e6ae-3f8c-4f63-9dcd-8387cb96a63f","False","False","False"
"SaraM@M365x747460.onmicrosoft.com","4879bad3-53d8-4177-b2c4-ee6607edde84","False","False","False"
"SeungJ@M365x747460.onmicrosoft.com","1ddb640a-46d4-4520-87f9-e06f65f54fde","False","False","False"
"ShannonM@M365x747460.onmicrosoft.com","7ac11ec4-6358-4794-be4a-bbdf1d1ff296","False","False","False"
"SilviaM@M365x747460.onmicrosoft.com","9bd7299b-cdf2-49b4-8a99-554c9baa30cb","False","False","False"
"SimonN@M365x747460.onmicrosoft.com","ac8739ea-64dc-4b07-9597-00247af84be4","False","False","False"
"Stevens@M365x747460.onmicrosoft.com","f0f2be95-2903-4542-abab-f4c781e3c63e","False","False","False"
"SungH@M365x747460.onmicrosoft.com","68bfc633-9c68-443e-9b6e-485ac2b24863","False","False","False"
"TeresaS@M365x747460.onmicrosoft.com","0906d3ac-1495-47e9-b4e4-bb56313bddb1","False","False","False"
"YoungL@M365x747460.onmicrosoft.com","2bb1ee02-320d-4e3c-ac46-54857d80806f","False","False","False"
"ZacharyP@M365x747460.onmicrosoft.com","5cc4b178-1854-4537-821c-46a1be26e5c9","False","False","False"
